score	readID	taxID
9025	NB501013:67:HNG37BGX5:3:22609:12617:16915	214856
7056	NB501013:67:HNG37BGX5:3:23409:15919:7106	77133
13689	NB501013:67:HNG37BGX5:3:22603:15812:16921	1
18496	NB501013:67:HNG37BGX5:3:22406:18420:1880	1
18225	NB501013:67:HNG37BGX5:3:23512:11522:19009	2
4420	NB501013:67:HNG37BGX5:3:23602:1054:14268	155900
4854	NB501013:67:HNG37BGX5:3:13404:10922:10185	515620
18496	NB501013:67:HNG37BGX5:3:23509:20969:19352	2
6084	NB501013:67:HNG37BGX5:3:23610:8441:1670	155900
18496	NB501013:67:HNG37BGX5:3:23607:21056:1267	2
18496	NB501013:67:HNG37BGX5:3:23503:9355:8732	1
13924	NB501013:67:HNG37BGX5:3:23608:21913:7507	2
18496	NB501013:67:HNG37BGX5:4:11411:25467:12778	1
576	NB501013:67:HNG37BGX5:4:11402:21552:1286	77133
18225	NB501013:67:HNG37BGX5:4:11408:20619:3501	1
18496	NB501013:67:HNG37BGX5:4:11504:21702:1530	28116
5220	NB501013:67:HNG37BGX5:4:11508:15015:19596	28116
18496	NB501013:67:HNG37BGX5:3:22604:8250:6466	1
2601	NB501013:67:HNG37BGX5:4:11609:25658:4627	1
18496	NB501013:67:HNG37BGX5:4:12512:11205:11581	2
5476	NB501013:67:HNG37BGX5:4:12607:16327:8216	515620
18496	NB501013:67:HNG37BGX5:4:12403:7613:6617	712357
18496	NB501013:67:HNG37BGX5:4:11512:19914:9581	1301
18496	NB501013:67:HNG37BGX5:4:12408:3061:17199	1
676	NB501013:67:HNG37BGX5:4:13402:21029:16543	515620
14161	NB501013:67:HNG37BGX5:4:13505:10681:13010	2
18225	NB501013:67:HNG37BGX5:4:13402:24269:4591	2
4489	NB501013:67:HNG37BGX5:4:13601:2300:7249	562
18496	NB501013:67:HNG37BGX5:4:13601:23232:7727	214856
18496	NB501013:67:HNG37BGX5:4:13607:14836:1128	77133
18496	NB501013:67:HNG37BGX5:4:12610:10953:4679	2
11025	NB501013:67:HNG37BGX5:4:13608:1667:4344	239759
1417	NB501013:67:HNG37BGX5:4:21404:9905:4313	214856
8821	NB501013:67:HNG37BGX5:4:13604:13512:8723	239759
18496	NB501013:67:HNG37BGX5:4:12404:18401:17502	712357
18496	NB501013:67:HNG37BGX5:4:21412:6394:1398	2
2341	NB501013:67:HNG37BGX5:4:21509:7468:18554	292800
9025	NB501013:67:HNG37BGX5:4:13612:11582:13478	214856
18496	NB501013:67:HNG37BGX5:4:21512:10752:8158	2
18496	NB501013:67:HNG37BGX5:4:21408:24822:11970	2
30089	NB501013:67:HNG37BGX5:4:21408:5069:10707	2
18496	NB501013:67:HNG37BGX5:4:21512:7365:14239	2
18496	NB501013:67:HNG37BGX5:4:21601:13991:17404	816
3721	NB501013:67:HNG37BGX5:4:21607:22822:13022	214856
5776	NB501013:67:HNG37BGX5:4:22407:11066:4746	1
18496	NB501013:67:HNG37BGX5:4:22408:23475:15864	28116
18496	NB501013:67:HNG37BGX5:4:22412:17824:3592	2
3249	NB501013:67:HNG37BGX5:4:23405:23207:12547	239759
18496	NB501013:67:HNG37BGX5:4:22607:26371:5984	171549
17161	NB501013:67:HNG37BGX5:4:22605:3416:11007	2
0	NB501013:67:HNG37BGX5:4:23510:13557:12144	0
8100	NB501013:67:HNG37BGX5:4:22601:15302:10256	155900
6466	NB501013:67:HNG37BGX5:4:23408:8360:12283	2
18496	NB501013:67:HNG37BGX5:4:23408:12763:14395	2
18496	NB501013:67:HNG37BGX5:4:22507:20718:8367	1
18496	NB501013:67:HNG37BGX5:4:23602:17174:12305	155900
18225	NB501013:67:HNG37BGX5:4:23603:3498:16569	2
15376	NB501013:67:HNG37BGX5:4:23608:23023:8888	77133
0	NB501013:67:HNG37BGX5:4:23602:19798:14626	0
7328	NB501013:67:HNG37BGX5:4:23606:21061:7608	292800
3524	NB501013:67:HNG37BGX5:1:21311:26622:20235	155900
2738	NB501013:67:HNG37BGX5:3:12603:1440:7739	77133
1089	NB501013:67:HNG37BGX5:1:12207:4776:7122	541003
3600	NB501013:67:HNG37BGX5:3:21610:13259:10385	516963
11025	NB501013:67:HNG37BGX5:1:13205:26661:6517	77133
3225	NB501013:67:HNG37BGX5:3:22604:12799:15976	817
9801	NB501013:67:HNG37BGX5:4:23602:13095:9164	1
1296	NB501013:67:HNG37BGX5:1:22103:1391:5755	1
3600	NB501013:67:HNG37BGX5:2:13110:23888:8798	516963
64	NB501013:67:HNG37BGX5:3:11505:18039:19797	2
576	NB501013:67:HNG37BGX5:1:13312:8577:3521	77133
4624	NB501013:67:HNG37BGX5:3:22408:8749:12834	77133
8836	NB501013:67:HNG37BGX5:1:23202:9104:7321	2
8836	NB501013:67:HNG37BGX5:4:12407:20748:9645	2
225	NB501013:67:HNG37BGX5:1:21206:21337:4938	77133
225	NB501013:67:HNG37BGX5:4:23611:23107:19732	2
1600	NB501013:67:HNG37BGX5:3:12407:1323:2725	77133
400	NB501013:67:HNG37BGX5:1:12202:10784:8999	657313
7921	NB501013:67:HNG37BGX5:3:21507:25458:18436	1
1075	NB501013:67:HNG37BGX5:3:22512:2575:2443	1
1075	NB501013:67:HNG37BGX5:2:13312:4095:15147	1
6561	NB501013:67:HNG37BGX5:2:13304:26876:9368	1301
441	NB501013:67:HNG37BGX5:2:13201:26785:17093	515619
580	NB501013:67:HNG37BGX5:1:13104:14010:14333	1834205
18225	NB501013:67:HNG37BGX5:1:11310:2248:14974	28116
18496	NB501013:67:HNG37BGX5:1:23308:8348:2632	28116
965	NB501013:67:HNG37BGX5:1:21112:14054:8991	1834205
10000	NB501013:67:HNG37BGX5:3:21510:20176:14940	77133
18496	NB501013:67:HNG37BGX5:2:21211:17894:8740	29466
1360	NB501013:67:HNG37BGX5:3:23608:17915:6357	1834198
12544	NB501013:67:HNG37BGX5:4:21406:20149:4408	155900
1444	NB501013:67:HNG37BGX5:1:11109:6309:11929	214856
256	NB501013:67:HNG37BGX5:4:21403:26280:18671	186802
3001	NB501013:67:HNG37BGX5:3:22408:2717:4287	816
484	NB501013:67:HNG37BGX5:2:13107:24091:14470	1264
5329	NB501013:67:HNG37BGX5:2:23308:20523:8302	214856
1764	NB501013:67:HNG37BGX5:1:21103:17153:4396	1834205
676	NB501013:67:HNG37BGX5:4:13607:2127:1689	39485
1936	NB501013:67:HNG37BGX5:4:21508:14989:19827	77133
18496	NB501013:67:HNG37BGX5:2:23302:25339:19176	1352
729	NB501013:67:HNG37BGX5:2:12208:5359:19665	2
484	NB501013:67:HNG37BGX5:1:11112:14440:15661	166486
169	NB501013:67:HNG37BGX5:2:11111:1468:18394	657322
729	NB501013:67:HNG37BGX5:2:23206:14860:19233	853
1250	NB501013:67:HNG37BGX5:1:13203:12508:2050	186803
81	NB501013:67:HNG37BGX5:2:13310:10783:13015	28890
1849	NB501013:67:HNG37BGX5:1:11306:5423:8993	28116
324	NB501013:67:HNG37BGX5:1:23206:2747:13334	77133
0	NB501013:67:HNG37BGX5:1:11305:3839:9376	0
15876	NB501013:67:HNG37BGX5:2:22304:3889:7613	155900
14884	NB501013:67:HNG37BGX5:1:11302:12806:7591	817
12100	NB501013:67:HNG37BGX5:3:22601:23437:7192	165186
2209	NB501013:67:HNG37BGX5:1:12307:19176:11710	77133
6673	NB501013:67:HNG37BGX5:1:23304:15794:6014	2
16641	NB501013:67:HNG37BGX5:3:12409:13914:4936	1
3721	NB501013:67:HNG37BGX5:4:22612:6015:18213	43305
0	NB501013:67:HNG37BGX5:1:22103:21482:15877	0
3481	NB501013:67:HNG37BGX5:2:12108:21009:18882	186802
0	NB501013:67:HNG37BGX5:2:22101:11036:13960	0
0	NB501013:67:HNG37BGX5:3:22506:3526:17694	0
18496	NB501013:67:HNG37BGX5:1:21201:26828:5012	1
18496	NB501013:67:HNG37BGX5:2:12310:2054:14739	823
0	NB501013:67:HNG37BGX5:4:13503:11491:13243	0
0	NB501013:67:HNG37BGX5:3:21403:1349:18488	0
