,EC,Superpathway
214,ec:1.1.1.67,Carbohydrate metabolism
215,ec:1.1.2.2,Carbohydrate metabolism
216,ec:1.1.3.41,Carbohydrate metabolism
217,ec:1.1.99.21,Carbohydrate metabolism
218,ec:2.4.1.217,Carbohydrate metabolism
219,ec:2.4.1.269,Carbohydrate metabolism
220,ec:2.4.1.33,Carbohydrate metabolism
221,ec:2.7.1.1,Carbohydrate metabolism
222,ec:2.7.1.105,Carbohydrate metabolism
223,ec:2.7.1.11,Carbohydrate metabolism
224,ec:2.7.1.191,Carbohydrate metabolism
225,ec:2.7.1.197,Carbohydrate metabolism
226,ec:2.7.1.198,Carbohydrate metabolism
227,ec:2.7.1.202,Carbohydrate metabolism
228,ec:2.7.1.206,Carbohydrate metabolism
229,ec:2.7.1.28,Carbohydrate metabolism
230,ec:2.7.1.3,Carbohydrate metabolism
231,ec:2.7.1.4,Carbohydrate metabolism
232,ec:2.7.1.5,Carbohydrate metabolism
233,ec:2.7.1.51,Carbohydrate metabolism
234,ec:2.7.1.52,Carbohydrate metabolism
235,ec:2.7.1.55,Carbohydrate metabolism
236,ec:2.7.1.56,Carbohydrate metabolism
237,ec:2.7.1.7,Carbohydrate metabolism
238,ec:2.7.1.90,Carbohydrate metabolism
239,ec:2.7.7.13,Carbohydrate metabolism
240,ec:2.7.7.22,Carbohydrate metabolism
241,ec:2.7.7.30,Carbohydrate metabolism
242,ec:3.1.1.65,Carbohydrate metabolism
243,ec:3.1.3.11,Carbohydrate metabolism
244,ec:3.1.3.22,Carbohydrate metabolism
245,ec:3.1.3.46,Carbohydrate metabolism
246,ec:3.1.3.54,Carbohydrate metabolism
247,ec:3.1.3.70,Carbohydrate metabolism
248,ec:3.2.1.137,Carbohydrate metabolism
249,ec:3.2.1.77,Carbohydrate metabolism
250,ec:3.2.1.78,Carbohydrate metabolism
251,ec:3.2.1.80,Carbohydrate metabolism
252,ec:3.6.1.21,Carbohydrate metabolism
253,ec:4.1.2.13,Carbohydrate metabolism
254,ec:4.1.2.17,Carbohydrate metabolism
255,ec:4.1.2.19,Carbohydrate metabolism
256,ec:4.1.2.53,Carbohydrate metabolism
257,ec:4.2.1.47,Carbohydrate metabolism
258,ec:4.2.1.68,Carbohydrate metabolism
259,ec:4.2.1.90,Carbohydrate metabolism
260,ec:4.2.2.11,Carbohydrate metabolism
261,ec:4.2.2.3,Carbohydrate metabolism
262,ec:5.1.3.37,Carbohydrate metabolism
263,ec:5.3.1.1,Carbohydrate metabolism
264,ec:5.3.1.14,Carbohydrate metabolism
265,ec:5.3.1.25,Carbohydrate metabolism
266,ec:5.3.1.5,Carbohydrate metabolism
267,ec:5.3.1.6,Carbohydrate metabolism
268,ec:5.3.1.7,Carbohydrate metabolism
269,ec:5.3.1.8,Carbohydrate metabolism
270,ec:5.4.2.8,Carbohydrate metabolism
271,ec:1.1.1.120,Carbohydrate metabolism
272,ec:1.1.1.16,Carbohydrate metabolism
