EC1_EC2	Num_of_prots
1.1.1.149_1.1.1.112	4
2.3.1.n7_2.3.1.121	4
4.2.1.91_4.2.1.51	4
1.2.1.8_1.2.1.31	4
6.3.2.41_6.3.1.17	4
1.2.1.7_1.2.1.5	4
4.1.1.28_4.1.1.25	4
5.4.99.5_1.3.1.12	4
4.1.1.74_4.1.1.72	4
3.2.1.183_2.7.1.60	4
6.2.1.42_6.2.1.3	4
1.14.12.3_1.14.12.11	4
3.1.3.81_3.1.3.27	4
2.5.1.79_2.5.1.126	4
3.6.1.27_3.1.3.4	4
6.3.4.9_6.3.4.11	4
2.7.7.1_2.7.1.22	4
5.3.3.1_1.1.3.6	4
1.1.1.239_1.1.1.105	4
2.6.1.7_2.6.1.39	4
3.1.3.32_2.7.1.78	4
3.1.3.64_3.1.3.48	4
3.6.1.56_3.6.1.55	4
2.4.1.40_2.4.1.37	4
2.3.1.75_2.3.1.20	4
3.6.1.58_3.6.1.13	4
2.4.2.8_2.4.2.22	4
2.3.1.67_2.3.1.51	4
3.1.1.3_3.1.1.13	4
6.3.4.15_6.3.4.10	4
6.3.4.11_6.3.4.10	4
3.6.1.23_3.1.26.13	4
4.4.1.13_2.6.1.64	4
4.2.3.16_4.2.3.15	4
3.1.3.95_3.1.3.48	4
1.7.99.1_1.7.2.1	4
3.1.1.6_3.1.1.13	4
3.1.7.2_2.7.6.5	4
5.1.99.8_1.13.11.81	4
5.4.99.5_5.4.4.2	4
3.1.2.3_3.1.2.2	4
3.6.1.27_3.1.3.27	4
4.1.2.25_1.13.11.81	4
3.6.1.13_2.7.7.96	4
6.3.2.8_6.3.2.4	4
3.1.1.6_3.1.1.3	4
2.3.1.240_2.3.1.239	4
1.2.1.8_1.2.1.3	4
3.1.26.4_3.1.13.2	4
1.2.1.31_1.2.1.3	4
2.4.1.91_2.4.1.237	4
2.3.1.n6_2.3.1.121	4
1.2.1.5_1.2.1.28	4
5.3.2.2_4.2.1.2	4
5.4.4.5_1.13.11.60	4
3.2.1.8_3.2.1.4	4
4.2.1.17_1.1.1.211	4
2.3.1.23_2.3.1.121	4
4.2.3.32_4.2.3.18	4
4.2.3.15_4.2.3.105	4
3.6.1.27_3.1.3.81	4
2.6.1.7_2.6.1.64	4
4.1.3.6_2.8.3.10	4
2.3.1.n6_2.3.1.67	4
3.1.3.7_3.1.3.25	4
3.1.3.48_3.1.3.27	4
4.2.1.65_3.5.5.4	4
3.2.2.4_3.2.2.10	4
1.3.1.9_1.3.1.44	4
3.1.3.27_3.1.3.16	4
4.1.3.27_2.4.2.18	4
3.1.3.85_3.1.3.70	4
2.3.1.n7_2.3.1.67	4
3.3.2.10_3.1.3.76	4
6.1.1.17_6.1.1.15	4
5.4.99.17_4.2.1.129	4
2.3.1.258_2.3.1.255	4
2.7.11.19_2.7.11.1	4
6.3.4.9_6.3.4.15	4
6.3.4.9_6.3.4.10	4
4.1.1.72_4.1.1.43	4
5.3.99.2_2.5.1.18	4
3.2.2.5_2.4.2.31	4
3.1.3.7_3.1.3.11	4
2.7.1.63_2.7.1.2	4
3.1.4.35_3.1.4.17	3
6.3.5.13_3.5.1.2	3
3.5.1.1_3.1.1.5	3
2.1.1.321_2.1.1.319	3
6.2.1.7_6.2.1.3	3
1.3.1.20_1.1.1.357	3
1.1.1.315_1.1.1.105	3
2.1.1.131_2.1.1.130	3
3.1.2.2_3.1.2.11	3
1.5.1.16_1.5.1.11	3
3.4.21.26_3.4.14.5	3
5.4.99.16_3.2.1.1	3
3.1.1.31_1.1.1.363	3
1.14.14.79_1.14.14.1	3
2.4.1.177_2.4.1.120	3
1.23.1.4_1.23.1.3	3
3.1.3.50_3.1.3.23	3
3.1.2.5_3.1.2.2	3
1.14.19.2_1.14.19.11	3
6.3.3.2_2.1.2.5	3
6.2.1.7_6.2.1.24	3
2.4.99.4_2.4.99.2	3
3.1.2.3_3.1.2.27	3
4.1.3.25_4.1.3.24	3
4.2.3.55_4.2.3.47	3
3.1.2.27_3.1.2.1	3
6.2.1.14_2.3.1.47	3
1.23.1.3_1.23.1.1	3
1.1.1.66_1.1.1.105	3
6.2.1.2_6.2.1.1	3
1.8.98.4_1.8.7.3	3
4.2.1.107_1.1.1.n12	3
1.13.11.31_1.13.11.12	3
1.13.11.33_1.13.11.12	3
1.1.1.105_1.1.1.1	3
3.1.2.27_2.3.1.65	3
6.2.1.7_6.2.1.15	3
3.1.2.3_3.1.2.11	3
4.1.3.25_2.3.3.9	3
4.2.1.56_4.2.1.18	3
3.1.3.5_3.1.3.2	3
3.2.1.21_3.2.1.147	3
3.6.4.12_3.1.21.4	3
4.2.1.119_4.2.1.107	3
1.14.14.52_1.14.14.51	3
3.1.2.3_3.1.2.1	3
3.1.2.5_3.1.2.3	3
3.1.2.5_3.1.2.1	3
2.7.11.13_2.7.10.2	3
5.3.3.10_4.1.1.68	3
1.2.1.3_1.1.1.1	3
6.3.2.14_3.3.2.1	3
3.1.1.5_3.1.1.47	3
2.7.7.53_2.7.7.5	3
1.13.11.58_1.13.11.45	3
4.2.3.16_4.2.3.113	3
3.2.2.9_3.2.2.30	3
2.6.1.45_2.6.1.44	3
3.1.2.27_3.1.2.11	3
2.3.1.57_2.3.1.48	3
5.1.3.5_5.1.3.2	3
2.8.1.10_1.4.3.19	3
4.2.3.82_4.2.3.81	3
4.2.1.8_4.2.1.39	3
1.1.1.66_1.1.1.1	3
3.1.3.23_3.1.3.22	3
5.5.1.13_4.2.3.19	3
2.3.1.n4_2.3.1.51	3
4.2.1.20_4.1.2.8	3
1.1.1.47_1.1.1.363	3
6.3.4.19_2.4.2.8	3
4.1.3.25_3.1.2.30	3
1.1.1.357_1.1.1.225	3
2.7.1.153_2.7.1.151	3
3.1.1.31_1.1.1.47	3
1.2.1.10_1.1.1.1	3
2.7.7.3_2.7.1.24	3
2.1.1.46_2.1.1.212	3
3.2.1.62_3.2.1.108	3
3.1.2.2_2.3.1.65	3
3.1.2.30_2.3.3.9	3
4.2.3.15_4.2.3.113	3
1.14.15.28_1.14.15.14	3
4.2.3.83_4.2.3.81	3
4.2.3.83_4.2.3.82	3
3.1.2.11_3.1.2.1	3
3.1.2.5_3.1.2.11	3
5.4.4.7_4.2.1.152	3
1.1.1.48_1.1.1.120	3
2.7.1.153_2.7.1.140	3
3.1.1.1_2.1.1.197	3
2.6.1.99_2.6.1.27	3
6.3.4.15_2.7.1.33	3
5.4.99.40_5.4.99.39	3
2.7.7.61_2.4.2.52	3
3.5.1.1_3.1.1.47	3
3.1.2.5_3.1.2.27	3
1.14.11.n4_1.14.11.30	3
2.7.1.50_2.5.1.3	3
1.3.1.20_1.1.1.112	3
1.5.1.30_1.3.1.24	3
4.2.1.59_3.5.1.108	3
2.7.11.1_2.3.1.48	3
1.13.11.58_1.13.11.12	3
1.14.16.4_1.14.16.1	3
3.1.3.50_3.1.3.22	3
4.2.1.143_4.2.1.142	3
5.4.2.7_5.4.2.2	3
2.6.1.4_2.6.1.2	2
4.2.3.133_4.2.3.125	2
3.6.1.3_3.6.1.25	2
1.14.14.125_1.14.14.124	2
3.4.19.12_2.4.1.141	2
2.7.7.40_1.1.1.405	2
5.5.1.17_4.2.3.25	2
6.2.1.40_6.2.1.17	2
1.1.1.357_1.1.1.188	2
1.1.1.48_1.1.1.47	2
3.1.3.16_2.7.11.1	2
